2.0009,4.6848
4.8457,0.076542
4.1711,0.50986
1.466,5.8026
6.0599,0.84003
1.3872,7.3061
0.57898,1.8656
0.41096,4.4382
4.2353,3.5424
-0.017974,2.3262
4.5807,5.4483
2.298,5.7351
2.783,1.0676
3.2595,1.5356
5.2767,3.6164
0.15657,2.6426
2.3818,4.8063
6.5807,5.722
2.6712,7.634
1.1011,-0.087342
6.3852,4.4254
2.9525,4.5434
8.1406,1.8982
4.2005,3.8252
3.9547,1.7256
5.0499,6.4446
6.8964,2.7452
5.0555,4.0412
1.4545,6.7536
2.5475,1.7787
5.1636,1.9609
5.6012,8.458
2.9402,3.2082
2.4704,1.052
4.8659,6.2447
3.5609,3.3763
4.5833,5.891
6.9028,1.179
6.3128,2.3065
0.57373,4.6655
7.4847,2.681
-0.95105,2.4168
4.7776,4.8504
3.0491,6.2036
2.1255,3.2583
2.7372,3.0239
-1.0289,4.6327
5.1222,6.3536
4.4054,4.3232
1.13,5.9754
-4.5603,-4.6279
-3.7384,-4.0975
-2.9498,-3.4629
-4.3077,-4.0374
-2.834,-3.8761
-3.3093,-2.6759
-3.8962,-2.04
-1.9338,-3.1491
-3.6087,-3.6939
-2.1364,-2.5318
-3.5819,-4.5163
-1.9878,-5.5417
-3.8489,-2.9477
-3.5961,-4.1627
-2.9665,-3.8672
-2.5767,-3.2607
-2.1073,-3.9932
-3.9089,-2.439
-2.9263,-4.2943
-3.8422,-4.4497
-5.7017,-3.5077
-3.8371,-3.7742
-2.1251,-3.5175
-1.8651,-2.4885
-1.7404,-2.3841
-3.7414,-3.2317
-4,-3.8883
-2.2193,-1.1692
-3.0745,-3.8384
-2.038,-5.6238
-1.1087,-4.6413
-5.3408,-2.0699
-2.8904,-2.5314
-3.2468,-1.8913
-3.2476,-3.5322
-4.4131,-4.1918
-4.865,-3.9748
-3.8305,-4.1331
-2.1396,-5.1536
-3.0509,-2.9577
-3.7406,-3.2216
-3.8626,-4.1984
-4.6567,-4.8184
-4.448,-3.7235
-5.1088,-2.7171
-2.5519,-3.4786
-4.1622,-3.54
-3.2379,-2.3194
-4.3434,-3.4183
-4.2989,-3.7629
